City,Highest_Expense_Type,Lowest_Expense_Type
"Shikarpur Bulandshahr, India",Fuel,Entertainment
"Shikohabad, India",Grocery,Entertainment
"Shillong, India",Fuel,Entertainment
"Shimla, India",Food,Grocery
"Shirdi, India",Entertainment,Fuel
"Shirpur-Warwade, India",Entertainment,Entertainment
"Shirur, India",Bills,Grocery
"Shivamogga, India",Food,Bills
"Shivpuri, India",Food,Bills
"Sholingur, India",Entertainment,Grocery
"Shoranur, India",Bills,Entertainment
"Shrigonda, India",Entertainment,Bills
"Shrirampur, India",Food,Bills
"Shujalpur, India",Grocery,Fuel
"Siana, India",Grocery,Entertainment
"Sibsagar, India",Entertainment,Fuel
"Siddipet, India",Food,Entertainment
"Sidhi, India",Entertainment,Food
"Sidhpur, India",Grocery,Food
"Sidlaghatta, India",Fuel,Grocery
"Sihor, India",Food,Grocery
"Sihora, India",Food,Fuel
"Sikandra Rao, India",Fuel,Food
"Sikandrabad, India",Bills,Fuel
"Sikar, India",Fuel,Bills
"Silchar, India",Food,Bills
"Siliguri, India",Food,Bills
"Sillod, India",Fuel,Grocery
"Simdega, India",Food,Entertainment
"Sindhagi, India",Bills,Grocery
"Sindhnur, India",Fuel,Bills
"Singrauli, India",Entertainment,Grocery
"Sinnar, India",Fuel,Grocery
"Sira, India",Bills,Grocery
"Sircilla, India",Grocery,Entertainment
"Sirhind Fatehgarh Sahib, India",Bills,Food
"Sirkali, India",Grocery,Bills
"Sirohi, India",Bills,Food
"Sironj, India",Grocery,Food
"Sirsa, India",Bills,Entertainment
"Sirsaganj, India",Fuel,Grocery
"Sirsi, India",Bills,Grocery
"Siruguppa, India",Grocery,Bills
"Sitamarhi, India",Fuel,Entertainment
"Sitapur, India",Food,Grocery
"Sivaganga, India",Entertainment,Food
"Sivakasi, India",Bills,Grocery
"Siwan, India",Bills,Entertainment
"Sohna, India",Food,Entertainment
"Sojat, India",Entertainment,Fuel
"Solan, India",Grocery,Food
"Solapur, India",Food,Fuel
"Sonamukhi, India",Grocery,Fuel
"Sonepur, India",Fuel,Entertainment
"Sonipat, India",Bills,Fuel
"Sopore, India",Bills,Food
"Soro, India",Entertainment,Fuel
"Soron, India",Entertainment,Fuel
"Sri Madhopur, India",Entertainment,Bills
"Srikakulam, India",Fuel,Food
"Srikalahasti, India",Fuel,Bills
"Srinagar, India",Entertainment,Food
"Srivilliputhur, India",Entertainment,Grocery
"Suar, India",Food,Fuel
"Sugauli, India",Grocery,Fuel
"Sujangarh, India",Food,Bills
"Sullurpeta, India",Grocery,Grocery
"Sultanganj, India",Entertainment,Food
"Sultanpur, India",Grocery,Entertainment
"Sumerpur, India",Bills,Grocery
"Sunabeda, India",Bills,Grocery
"Sunam, India",Grocery,Fuel
"Sundargarh, India",Entertainment,Food
"Supaul, India",Bills,Fuel
"Surandai, India",Entertainment,Bills
"Surapura, India",Food,Bills
"Surat, India",Entertainment,Travel
"Suratgarh, India",Grocery,Food
"Suri, India",Grocery,Food
"Suryapet, India",Food,Fuel
"Tadepalligudem, India",Entertainment,Grocery
"Tadpatri, India",Grocery,Entertainment
"Taki, India",Entertainment,Bills
"Talaja, India",Food,Fuel
"Talcher, India",Grocery,Bills
"Talegaon Dabhade, India",Food,Grocery
"Talikota, India",Fuel,Entertainment
"Taliparamba, India",Entertainment,Bills
"Talode, India",Food,Fuel
"Tamluk, India",Bills,Bills
"Tanda, India",Bills,Fuel
"Tandur, India",Entertainment,Food
"Tanuku, India",Entertainment,Fuel
"Tarakeswar, India",Food,Grocery
"Taranagar, India",Bills,Entertainment
"Tarikere, India",Bills,Fuel
"Tarn Taran, India",Entertainment,Fuel
"Tasgaon, India",Grocery,Food
"Tekkalakote, India",Fuel,Bills
"Tenali, India",Fuel,Grocery
"Tenkasi, India",Food,Fuel
"Terdal, India",Grocery,Entertainment
"Tezpur, India",Bills,Grocery
"Thakurdwara, India",Fuel,Entertainment
"Thana Bhawan, India",Grocery,Entertainment
"Thane, India",Entertainment,Bills
"Thanesar, India",Fuel,Grocery
"Thangadh, India",Entertainment,Bills
"Thanjavur, India",Grocery,Fuel
"Tharad, India",Food,Grocery
"Tharamangalam, India",Grocery,Food
"Theni Allinagaram, India",Fuel,Bills
"Thirumangalam, India",Entertainment,Food
"Thiruvalla, India",Food,Grocery
"Thiruvallur, India",Grocery,Food
"Thiruvananthapuram, India",Bills,Food
"Thiruvarur, India",Food,Grocery
"Thodupuzha, India",Food,Food
"Thoubal, India",Fuel,Food
"Thrissur, India",Grocery,Bills
"Thuraiyur, India",Fuel,Bills
"Tikamgarh, India",Grocery,Food
"Tilda Newra, India",Fuel,Food
"Tilhar, India",Fuel,Entertainment
"Tindivanam, India",Grocery,Bills
"Tinsukia, India",Bills,Grocery
"Tiptur, India",Fuel,Food
"Tiruchendur, India",Bills,Fuel
"Tiruchengode, India",Bills,Fuel
"Tiruchirappalli, India",Grocery,Food
"Tirukalukundram, India",Fuel,Bills
"Tirukkoyilur, India",Entertainment,Food
"Tirunelveli, India",Grocery,Food
"Tirupathur, India",Fuel,Food
"Tirupati, India",Fuel,Grocery
"Tiruppur, India",Food,Entertainment
"Tirur, India",Entertainment,Entertainment
"Tiruttani, India",Food,Entertainment
"Tiruvannamalai, India",Food,Grocery
"Tiruvethipuram, India",Grocery,Bills
"Tiruvuru, India",Grocery,Entertainment
"Titlagarh, India",Food,Fuel
"Tohana, India",Fuel,Grocery
"Tonk, India",Bills,Food
"Tuensang, India",Grocery,Fuel
"Tuljapur, India",Bills,Fuel
"Tumkur, India",Entertainment,Grocery
"Tumsar, India",Bills,Fuel
"Tundla, India",Entertainment,Grocery
"Tuni, India",Fuel,Entertainment
"Tura, India",Entertainment,Fuel
"Uchgaon, India",Bills,Grocery
"Udaipur, India",Grocery,Bills
"Udaipurwati, India",Grocery,Entertainment
"Udgir, India",Fuel,Grocery
"Udhagamandalam, India",Bills,Grocery
"Udhampur, India",Entertainment,Food
"Udumalaipettai, India",Entertainment,Bills
"Udupi, India",Fuel,Bills
"Ujhani, India",Fuel,Food
"Ujjain, India",Food,Fuel
"Umarga, India",Fuel,Grocery
"Umaria, India",Entertainment,Entertainment
"Umarkhed, India",Fuel,Food
"Umbergaon, India",Bills,Food
"Umred, India",Fuel,Entertainment
"Umreth, India",Entertainment,Food
"Una, India",Fuel,Grocery
"Unjha, India",Entertainment,Grocery
"Unnao, India",Fuel,Food
"Upleta, India",Grocery,Entertainment
"Uran Islampur, India",Entertainment,Bills
"Uran, India",Fuel,Food
"Uravakonda, India",Fuel,Food
"Usilampatti, India",Fuel,Entertainment
"Uthamapalayam, India",Food,Entertainment
"Utraula, India",Entertainment,Food
"Vadakkuvalliyur, India",Grocery,Food
"Vadalur, India",Grocery,Bills
"Vadipatti, India",Bills,Bills
"Vadnagar, India",Food,Grocery
"Vadodara, India",Bills,Entertainment
"Vaijapur, India",Grocery,Fuel
"Valparai, India",Food,Fuel
"Valsad, India",Bills,Grocery
"Vandavasi, India",Grocery,Food
"Vaniyambadi, India",Fuel,Grocery
"Vapi, India",Bills,Grocery
"Varanasi, India",Grocery,Grocery
"Varkala, India",Bills,Grocery
"Vasai-Virar, India",Food,Grocery
"Vatakara, India",Fuel,Grocery
"Vedaranyam, India",Grocery,Food
"Vellakoil, India",Food,Grocery
"Vellore, India",Bills,Bills
"Venkatagiri, India",Fuel,Bills
"Veraval, India",Entertainment,Food
"Vidisha, India",Grocery,Bills
"Vijainagar Ajmer, India",Entertainment,Grocery
"Vijayapura, India",Fuel,Grocery
"Vijayawada, India",Bills,Bills
"Vikarabad, India",Entertainment,Food
"Vikramasingapuram, India",Bills,Food
"Viluppuram, India",Grocery,Food
"Vinukonda, India",Entertainment,Fuel
"Viramgam, India",Entertainment,Grocery
"Virudhachalam, India",Food,Bills
"Virudhunagar, India",Fuel,Bills
"Visakhapatnam, India",Fuel,Entertainment
"Visnagar, India",Food,Fuel
"Vita, India",Fuel,Bills
"Vizianagaram, India",Food,Grocery
"Vrindavan, India",Bills,Grocery
"Vyara, India",Grocery,Food
"Wadgaon Road, India",Food,Grocery
"Wadhwan, India",Bills,Fuel
"Wadi, India",Bills,Entertainment
"Wai, India",Fuel,Bills
"Wanaparthy, India",Entertainment,Fuel
"Wani, India",Fuel,Bills
"Wankaner, India",Bills,Food
"Warangal, India",Entertainment,Food
"Wardha, India",Bills,Grocery
"Warisaliganj, India",Entertainment,Bills
"Warora, India",Entertainment,Grocery
"Washim, India",Fuel,Food
"Wokha, India",Entertainment,Bills
"Yadgir, India",Bills,Food
"Yamunanagar, India",Food,Fuel
"Yanam, India",Bills,Grocery
"Yavatmal, India",Food,Bills
"Yawal, India",Bills,Fuel
"Yellandu, India",Grocery,Entertainment
"Yemmiganur, India",Bills,Food
"Yerraguntla, India",Bills,Entertainment
"Yevla, India",Entertainment,Fuel
"Zaidpur, India",Food,Bills
"Zamania, India",Entertainment,Fuel
"Zira, India",Entertainment,Grocery
"Zirakpur, India",Fuel,Entertainment
"Zunheboto, India",Grocery,Entertainment
