City,Highest_Expense_Type,Lowest_Expense_Type
"Greater Mumbai, India",Bills,Entertainment
"Gudivada, India",Fuel,Grocery
"Gudur, India",Entertainment,Food
"Gumia, India",Food,Grocery
"Guntakal, India",Food,Fuel
"Guntur, India",Grocery,Entertainment
"Gurdaspur, India",Bills,Food
"Gurgaon, India",Fuel,Bills
"Guwahati, India",Entertainment,Fuel
"Gwalior, India",Bills,Entertainment
"Habra, India",Food,Entertainment
"Hajipur, India",Entertainment,Bills
"Haldwani-cum-Kathgodam, India",Grocery,Fuel
"Hansi, India",Food,Fuel
"Hapur, India",Food,Grocery
"Hardoi , India",Grocery,Entertainment
"Hardwar, India",Fuel,Bills
"Hazaribag, India",Bills,Entertainment
"Hindupur, India",Entertainment,Food
"Hisar, India",Bills,Food
"Hoshiarpur, India",Bills,Fuel
"Hubli-Dharwad, India",Entertainment,Fuel
"Hugli-Chinsurah, India",Food,Food
"Hyderabad, India",Grocery,Travel
"Ichalkaranji, India",Fuel,Entertainment
"Imphal, India",Entertainment,Food
"Indore, India",Grocery,Entertainment
"Itarsi, India",Bills,Fuel
"Jabalpur, India",Entertainment,Bills
"Jagdalpur, India",Grocery,Fuel
"Jaggaiahpet, India",Entertainment,Grocery
"Jagraon, India",Entertainment,Fuel
"Jagtial, India",Fuel,Entertainment
"Jaipur, India",Entertainment,Travel
"Jalandhar Cantt., India",Fuel,Grocery
"Jalandhar, India",Grocery,Bills
"Jalpaiguri, India",Fuel,Food
"Jamalpur, India",Bills,Food
"Jammalamadugu, India",Grocery,Food
"Jammu, India",Food,Bills
"Jamnagar, India",Bills,Food
"Jamshedpur, India",Food,Entertainment
"Jamui, India",Food,Entertainment
"Jangaon, India",Food,Fuel
"Jatani, India",Fuel,Grocery
"Jehanabad, India",Grocery,Bills
"Jhansi, India",Fuel,Grocery
"Jhargram, India",Bills,Grocery
"Jharsuguda, India",Fuel,Entertainment
"Jhumri Tilaiya, India",Bills,Fuel
"Jind, India",Food,Fuel
"Jodhpur, India",Food,Fuel
"Jorhat, India",Entertainment,Fuel
"Kadapa, India",Entertainment,Fuel
"Kadi, India",Food,Entertainment
"Kadiri, India",Fuel,Grocery
"Kagaznagar, India",Fuel,Grocery
"Kaithal, India",Entertainment,Bills
"Kakinada, India",Entertainment,Bills
"Kalimpong, India",Bills,Fuel
"Kalpi, India",Fuel,Grocery
"Kalyan-Dombivali, India",Food,Grocery
"Kamareddy, India",Grocery,Entertainment
"Kancheepuram, India",Grocery,Bills
"Kandukur, India",Fuel,Grocery
"Kanhangad, India",Food,Fuel
"Kannur, India",Grocery,Food
"Kanpur, India",Food,Travel
"Kapadvanj, India",Fuel,Entertainment
"Kapurthala, India",Food,Grocery
"Karaikal, India",Food,Bills
"Karimganj, India",Fuel,Entertainment
"Karimnagar, India",Food,Fuel
"Karjat, India",Entertainment,Fuel
"Karnal, India",Food,Grocery
"Karur, India",Bills,Food
"Karwar, India",Food,Fuel
"Kasaragod, India",Food,Bills
"Kashipur, India",Entertainment,Bills
"Kathua, India",Entertainment,Bills
"Katihar, India",Entertainment,Bills
"Kavali, India",Entertainment,Grocery
"Kayamkulam, India",Food,Bills
"Kendrapara, India",Fuel,Food
"Kendujhar, India",Food,Entertainment
"Keshod, India",Food,Fuel
"Khair, India",Bills,Fuel
"Khambhat, India",Entertainment,Grocery
"Khammam, India",Fuel,Food
"Khanna, India",Fuel,Bills
"Kharagpur, India",Entertainment,Bills
"Kharar, India",Grocery,Entertainment
"Kishanganj, India",Entertainment,Food
"Kochi, India",Entertainment,Fuel
"Kodungallur, India",Fuel,Entertainment
"Kohima, India",Grocery,Food
"Kolar, India",Fuel,Food
"Kolkata, India",Entertainment,Travel
"Kollam, India",Entertainment,Fuel
"Koratla, India",Fuel,Bills
"Korba, India",Fuel,Bills
"Kot Kapura, India",Bills,Entertainment
"Kothagudem, India",Grocery,Bills
"Kottayam, India",Grocery,Food
"Kovvur, India",Entertainment,Food
"Koyilandy, India",Grocery,Fuel
"Kozhikode, India",Fuel,Food
"Kunnamkulam, India",Fuel,Food
"Kurnool, India",Fuel,Entertainment
"Kyathampalle, India",Food,Grocery
"Lachhmangarh, India",Grocery,Entertainment
"Ladnu, India",Grocery,Food
"Ladwa, India",Fuel,Grocery
"Lahar, India",Bills,Food
"Laharpur, India",Food,Entertainment
"Lakheri, India",Grocery,Entertainment
"Lakhimpur, India",Fuel,Entertainment
"Lakhisarai, India",Entertainment,Fuel
"Lakshmeshwar, India",Bills,Fuel
"Lal Gopalganj Nindaura, India",Bills,Bills
"Lalitpur, India",Grocery,Fuel
"Lalsot, India",Food,Fuel
"Lanka, India",Bills,Food
"Lar, India",Entertainment,Fuel
"Latur, India",Entertainment,Fuel
"Limbdi, India",Bills,Grocery
"Lingsugur, India",Entertainment,Food
"Lonavla, India",Entertainment,Bills
"Loni, India",Entertainment,Bills
"Losal, India",Food,Bills
"Lucknow, India",Grocery,Travel
"Ludhiana, India",Food,Grocery
"Lumding, India",Grocery,Fuel
"Lunawada, India",Fuel,Bills
"Lunglei, India",Entertainment,Food
"Macherla, India",Bills,Food
"Machilipatnam, India",Fuel,Food
"Madanapalle, India",Entertainment,Fuel
"Maddur, India",Entertainment,Fuel
"Madhepura, India",Grocery,Fuel
"Madhubani, India",Bills,Grocery
"Madhugiri, India",Entertainment,Grocery
"Madhupur, India",Entertainment,Fuel
"Madikeri, India",Entertainment,Bills
"Madurai, India",Entertainment,Bills
"Mahalingapura, India",Food,Grocery
"Mahasamund, India",Fuel,Grocery
"Mahbubnagar, India",Fuel,Fuel
"Mahe, India",Entertainment,Bills
"Mahemdabad, India",Fuel,Entertainment
"Mahesana, India",Bills,Grocery
"Mahidpur, India",Bills,Entertainment
"Mahnar Bazar, India",Bills,Fuel
"Mahuva, India",Bills,Fuel
"Maihar, India",Fuel,Grocery
"Mainaguri, India",Food,Fuel
"Makhdumpur, India",Bills,Grocery
"Makrana, India",Food,Bills
"Malaj Khand, India",Entertainment,Food
"Malappuram, India",Bills,Fuel
"Malavalli, India",Food,Bills
"Malegaon, India",Food,Grocery
